Código Proyecto,Foco Apoyo,Tipo Intervención,Instrumento,Instrumento Homologado,Estado Data,Tipo Persona,Rut Beneficiario,Beneficiario,Título,Objetivo,Año Adjudicación,Financiamiento Innova,Aprobado Privado,Aprobado Privado Pecuniario,Monto Certificado Ley,Tipo Innovación,Mercado Objetivo,Criterio Mujer,Género,Sostenible,ODS principal,Meta principal,Economía Circular,Modelo de Circularidad,Región,Tramo Ventas,Inicio Actividad Económica,Sector Económico,Patron principal asociado,Tipo proyecto,R principal,Estrategia R Principal,Ley REP,Ley REP (Sí/No),ERNC,Tendencia Final
22PDT-226714,Entorno para la innovación,Subsidio,Programa de Difusión Tecnológica,Programas de difusión y prospección tecnológica,FINALIZADO,Persona Jurídica constituida en Chile,61312000-9,Instituto de investigaciones agropecuarias INIA,Programa de difusión tecnológica para la disminución de brechas de inocuidad en la producción hortícola de la provincia de Chiloé.,"Mejorar el acceso de microempresarios agrícolas de Chiloé a información técnica, nuevas tecnologías y mejores prácticas en la producción primaria hortícola con foco en la disminución de brechas de competitividad relacionada a procesos de inocuidad y trazabilidad.",2022,$42.480.000,$21.637.545,$7.000.000,,,Agrícola (excepto cultivo de uvas),no aplica,Masculino,No,ODS2,,,,Región de los Lagos,Grande,1993-01-01 0:00:00,Agrícola (excepto vitivinícola),,,,,,,,Sin tendencia
22PDT-226710,Entorno para la innovación,Subsidio,Programa de Difusión Tecnológica,Programas de difusión y prospección tecnológica,FINALIZADO,Persona Jurídica constituida en Chile,76195751-1,Instituto tecnológico de la mitilicultura Spa,Centro de extensionismo para el mitilicultor (C.E.M.),"Implementar un centro de extensionismo para el mitilicultor, enfocado en la asistencia técnica y la difusión tecnológica, tanto en centros de captación como de engorda ubicados en los sectores de Chiloé, Calbuco, Cochamó y Hualaihué, para superar las brechas de tecnología, normativas y de certificaciones, buscando reforzar la eficiencia productiva y aumentar la cadena de valor del rubro.",2022,$87.736.400,$43.019.580,$19.320.000,,,Pesca y acuicultura,no aplica,Masculino,No,ODS9,,,,Región de los Lagos,Microempresa,2012-02-01 0:00:00,Asociaciones y organizaciones no empresariales ni gubernamentales,,,,,,,,Manufactura Avanzada (Advanced Manufacturing)
22PDT-226699,Entorno para la innovación,Subsidio,Programa de Difusión Tecnológica,Programas de difusión y prospección tecnológica,FINALIZADO,Persona Jurídica constituida en Chile,81494400-K,Universidad de Concepcion,"Manufactura aditiva y digitalización como herramientas para aumentar la competitividad, productividad y sofisticación en pymes manufactureras de la región del Biobio","Difundir el uso y beneficios de la tecnología de manufactura aditiva (impresión 3D) y de la digitalización integrada a procesos de manufactura (escaner) y establecer las condiciones basales que permitan su correcta implementación y absorción en el grupo de beneficiarios atendidos, permitiendo con esto acceder a nuevos y mejores mercados con productos de un mayor valor agregado y más sofisticados.",2022,$80.000.000,$48.688.000,$10.000.000,,,Manufactura de no metálicos,no aplica,Masculino,No,,,,,Región del Biobío,Grande,1993-01-01 0:00:00,Educación,,,,,,,,Software de aplicación
22IR-215325,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Natural,Persona Natural,Persona Natural,Habitáculo móvil y expandible,"desarrollar y fabricar un prototipo funcional del habitaculo móvil expandible acorde a la premisa de poder contar con todo el equipamiento de una habitación básica convencional en un formato móvil de bajo costo. siendo fundamental cumplir con las características de ser transportable a cualquier vehículo con capacidad de remolque velando por la conectividad, sustentabilidad energética y eficiencia en el aprovechamiento del espacio físico.",2022,$29.968.000,$7.672.000,$7.672.000,,Producto,Turismo,No,Masculino,Sí,ODS12,12.5,Sí,Recuperación de Recursos,Región del Biobío,Microempresa,2021-07-01,Manufactura de maquinaria y equipos (Metalmecánico),Reciclar,Economía Circular,R8 Reciclar,Aplicación útil de materiales,No,,,Manufactura Avanzada (Advanced Manufacturing)
22IR-215301,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,76194225-5,Bioinnova SpA,Pilotaje y validación de proceso termoquímico para la elaboración de pinturas a partir de aceite usado de fritura,"pilotear y validar un proceso de elaboración de resina alquídica usando uco (used cooking oil) y aceite de soya, para su aplicación como base de pinturas.",2022,$29.672.000,$8.640.000,$5.040.000,,Producto,Manufactura de no metálicos,No,Masculino,Sí,ODS12,12.5,Sí,Suministro Circular,Región de La Araucanía,Pequeña,2012-07-08,"Química, caucho y plásticos (excepto industria farmacéutica)",Intercambiar,Economía Circular,R8 Reciclar,Aplicación útil de materiales,No,,,Sin tendencia
22IR-215282,Desarrolla innovación,Subsidio,Innova Región,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,76257930-8,Servicios Forestales González y Jiménez Ltda.,Sistema de apoyo a la detección de la tala ilegal de árboles mediante la identificación de ruidos de motosierra basado en un arreglo de sensores inalámbricos,desarrollo de un pmv de sistema de apoyo a la detección de la tala ilegal de árboles mediante la identificación de ruidos de motosierra basado en un arreglo de sensores inalámbricos,2022,$29.960.000,$7.680.000,$4.800.000,,Servicio,Forestal,No,Masculino,No,ODS9,9.4,No,,Región de La Araucanía,Mediana,2005-04-25,Servicios empresariales administrativos y de apoyo,,,,,No,,,Internet de las Cosas (IoT)
22IR-215276,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,77509339-0,Biohidrical SpA,Biohidrical renal: Biohigrómetro portátil inteligente para el telemonitoreo y automonitoreo del estado de hidratación de pacientes con enfermedad renal crónica en periodos inter-dialíticos en la región del Biobío,"desarrollo y validación del pmv de biohigrómetro portátil inteligente, para el telemonitoreo y automonitoreo el estado de hidratación en pacientes con enfermedad renal terminal, mediante la utilización de la tecnología médica de bioimpedencia eléctrica para disminuir el impacto y la frecuencia de diálisis.",2022,$30.000.000,$7.500.000,$4.368.000,,Producto,Salud y Farmacéutica (en humanos),No,Masculino,No,ODS3,3.4,No,,Región del Biobío,Microempresa,2022-01-11,Salud y asistencia social,,,,,No,,,Sin tendencia
22IR-215221,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,77602667-0,Laboratorio La Vie SpA,Extracto de agarofita como insumo para la industria cosmética,"desarrollar el  producto extracto de algas agarofitas (agarophyton chilensis) con propiedades blanqueantes (anti manchas de la piel), antiinflamatorios y emolientes, para la industria de cosmética natural.",2022,$33.750.000,$3.750.000,$3.750.000,,Producto,Salud y Farmacéutica (en humanos),Incentivo,Masculino,No,ODS3,3.4,,,Región del Biobío,Microempresa,2022-05-03,Biotecnológico,,,,,No,,,Mass customization
22IR-215209,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Natural,Persona Natural,Persona Natural,"AI-Weeder: una solución sustentable para el manejo de malezas en huertos de frutales mediante ROBOT, I.A. y escenarios virtuales.","implementar un robot que denominamos ai-weeder como una solución sustentable para el manejo de malezas en huertos de frutales en la región de los ríos, considerando métodos mecánicos para su eliminación junto con análisis basados en datos recopilados por nuestros robots.",2022,$33.766.400,$4.097.600,$3.353.600,,Producto,Agrícola (excepto cultivo de uvas),Incentivo,Masculino,No,ODS8,8.2,,,Región de Los Ríos,Microempresa,2012-08-06,Tecnologías de la información,,Producción Sostenible,,,No,,,Robótica
22IR-215170,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,76060636-7,Sociedad Comercial Campomanes y Cía Ltda.,Desarrollo de ingrediente cosmético natural a partir de extracto de hoja de Drimys winteri activo contra Propionibacterium acnes,desarrollar un ingrediente cosmético natural con actividad contra propionibacterium acnés a partir de extracto de hoja de drimys winteri,2022,$26.040.000,$7.520.000,$4.000.000,,Producto,Otras industrias manufactureras,No,Masculino,No,ODS3,3.4,No,,Región de La Araucanía,Pequeña,2009-07-01,"Química, caucho y plásticos (excepto industria farmacéutica)",,,,,No,,,Sin tendencia
22IR-215163,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,77260562-5,Trading connection spa,Desarrollo de un proceso productivo para la fabricación de bastones de madera de pino y/o nativo,"validar técnica y comercialmente una línea productiva de bastones estriados, por medio del desarrollo de una maquina fresadora diseñada y construida a nivel local para generar bastones rectos aplicados a puertas y ventanas usadas en la construcción y muebles.",2022,$33.800.000,$4.200.000,$200.000,,Proceso,Construcción,Incentivo,Sin determinar,No,ODS8,8.2,No,,Región de Los Ríos,Microempresa,2020-11-16,Forestal,,Producción Sostenible,,,No,,,Manufactura Avanzada (Advanced Manufacturing)
22IR-215159,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,77374642-7,phiNet SpA,Los Lagos Solar: plataforma de información pública para la prospección de proyectos fotovoltaicos en el Sur de Chile,"desarrollar y validar el proyecto ""los lagos solar"" mediante el despliegue de una plataforma web de acceso público basada en información empírica provista por estaciones de medición ""phinet voyager"" distribuidas dentro del territorio regional, con el propósito de facilitar la prospección de proyectos fotovoltaicos en la zona y posibilitar su implementación gracias al acercamiento entre empresas instaladoras y consumidores finales a través de la plataforma.",2022,$25.981.000,$6.710.000,$3.510.000,,Servicio,Multisectorial,No,Masculino,Sí,ODS7,7.b,No,,Región de los Lagos,Microempresa,2022-02-09,Energético,,Producción Sostenible,,,No,,Energía solar,Clean Energy Technologies
22IR-215117,Desarrolla innovación,Subsidio,Innova Región,Innova Región,VIGENTE,Persona Jurídica constituida en Chile,76378570-K,Sociedad Industrial y Comercial Bolomey Ltda,Desarrollo y fabricación de equipo mecanizado semi automático para la recolección selección y ensacado  de papas en línea para el pequeño y mediano agricultor regional,"desarrollar y validar un equipo mecanizado semi automático lineal para la cosecha de papas orientado para la pequeña y mediana agricultura regional a partir de un prototipo incorporando nuevos procesos tecnológicos para realizar una producción industrial en un modelo, que optimiza la mano de obra, dando un valor agregado al facilitar la labor de recolección, limpieza, selección y ensacado en un menor tiempo de trabajo.",2022,$29.930.160,$7.728.000,$3.888.000,,Proceso,Agrícola (excepto cultivo de uvas),No,Masculino,No,ODS8,8.2,No,,Región de La Araucanía,Microempresa,2005-09-12,Manufactura de maquinaria y equipos (Metalmecánico),,,,,No,,,Manufactura Avanzada (Advanced Manufacturing)
22IR-215075,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,76081138-6,Maqlaser Ltda.,Empaquetamiento técnico digital de soluciones de conexiones innovadoras y costo efectivas para la construcción en CLT,"empaquetar técnicamente soluciones innovadoras y costo efectivas de conexión de manufactura regional para la construcción con madera que permita el uso seguro, rápido y confiable por parte de empresas de diseño, ingeniería y construcción. el empaquetamiento contempla un catálogo con información técnica para el cálculo estructural además de una base digital de modelos bim para su uso compatible con las tecnologías de diseño vigentes.",2022,$29.531.000,$7.436.000,$3.896.000,,Producto,Construcción,No,Masculino,No,ODS9,9.5,No,,Región del Biobío,Microempresa,2010-01-19,Otras industrias manufactureras,,,,,No,,,Materiales Avanzados (Advanced Materials)
22IR-215073,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,76145246-0,Mulch Limitada,"Máquina elaboradora de paneles de madera y núcleo de paja, para construcción sustentable.","fabricar y validar un producto mínimo viable (pmv) de máquina para elaboración de paneles de madera y núcleo de paja, para aumentar la escalabilidad del proceso de construcción sustentable, en base al uso estandarizado y eficiente de materiales naturales.",2022,$33.802.500,$4.422.500,$312.500,,Proceso,Construcción,Incentivo,Femenino,Sí,ODS7,7.3,No,,Región de Los Ríos,Microempresa,2011-05-13,Construcción,,Producción Sostenible,,,No,,Eficiencia Energética,Manufactura Avanzada (Advanced Manufacturing)
22IR-215063,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,76573009-0,Construcción de obras menores Claudia Sepúlveda G.,Validación técnico-comercial de la geoceldas de neumáticos fuera de uso para la contención de taludes,"validar técnicamente y comercialmente el sistema de contención de taludes utilizando geoceldas de neumáticos fuera de uso, visibilizando su uso en región del biobío.",2022,$33.751.030,$3.759.270,$348.970,,Producto,Construcción,Incentivo,Femenino,Sí,ODS12,12.5,Sí,Recuperación de Recursos,Región del Biobío,Pequeña,2016-01-25,Construcción,Reciclar,Economía Circular,R8 Reciclar,Aplicación útil de materiales,Sí,Neumáticos,,Sin tendencia
22IR-214960,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Jurídica constituida en Chile,77171267-3,Ruedlinger spa,"CEFA, Centro Fonoaudiológico pionero en crear material didáctico para la intervención terapéutica del habla y para el desarrollo lingüístico en niños y niñas de Chile.","validar prototipos de productos de línea inclusiva de material fonoaudiológico, creados mediante innovadora estrategia de juegos para fortalecer el desarrollo lingüístico de niños y niñas, diagnosticados con trastorno de habla y/o lenguaje en chile, evitando las dificultades de aprendizaje e impactos socioemocionales consecuentes. el proceso de validación será realizado por fonoaudiólogos expertos en el área.",2022,$22.543.920,$5.785.980,$3.085.980,,Producto,Educación y servicios conexos,Incentivo,Femenino,Sí,ODS10,10.2,No,,Región de Los Ríos,Microempresa,2020-06-16,Salud y asistencia social,,Producción Sostenible,,,No,,,Materiales Avanzados (Advanced Materials)
22IR-214955,Desarrolla innovación,Subsidio,Innova Región,Innova Región,FINALIZADO,Persona Natural,Persona Natural,Persona Natural,Pechera lavable y reutilizable para los operarios en las plantas de proceso alimentario en Chile.,"diseñar, fabricar y comercializar una pechera lavable y reutilizable para los operarios en las plantas de proceso salmonero. mejorando los actuales indicadores de sustentabilidad, seguridad alimentaria, seguridad laboral, productividad e inocuidad.",2022,$30.000.000,$13.600.000,$7.600.000,,Producto,Otros servicios empresariales,No,Masculino,Sí,ODS12,12.5,Sí,Extensión de Ciclo de Vida de Productos,Región de los Lagos,Microempresa,2015-09-29,Otros servicios,Reciclar,Producción Sostenible,R7 Reutilizar,Extensión de vida útil del producto y sus partes,No,,,Green Technologies (Tecnologías Verdes)
22CYE2-214202,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,76852968-K,Konatec SpA,Expansión comercial de alcance nacional para tecnología de medición reológica en línea KRheo,"lograr alta escalabilidad comercial de la tecnología de medición reológica en línea con el objetivo de obtener mayor penetración de mercado, con foco en actividades y acciones tales como: estrategia comercial, maduración y validación de modelos de negocios, actividades de prospección, marketing y difusión, entre otras, enfocadas principalmente en una mayor introducción de la tecnología desarrollada en el mundo académico en el mercado nacional minero.",2022,$39.736.000,$10.214.400,$10.214.400,,Producto,Minería y metalurgia extractiva,No,Masculino,Sí,ODS6,6.4,No,,Región del Biobío,Pequeña,2018-04-13,Servicios de ingeniería o de conocimiento,,Producción Sostenible,,,No,,,Sin tendencia
22CYE2-214178,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,76080655-2,Industria procesadora de aceites y grasas S.A.,"Escalamiento comercial de producto CR-1, que reemplaza aceite de raps y de canola en las formulaciones de alimento para acuicultura.","escalar comercialmente el producto cr-1 para abordar más clientes de la industria acuícola nacional. posicionándolo en ferias acuícolas nacionales e internacionales, en webinars especializados, y así establecer reuniones técnico comerciales, para aumentar número de clientes de nuestro producto a nivel nacional.",2022,$33.799.280,$14.438.720,$9.378.800,,Producto,Pesca y acuicultura,No,Masculino,No,ODS2,2.2,No,,Región del Biobío,Grande,2009-12-11,"Química, caucho y plásticos (excepto industria farmacéutica)",,,,,No,,,Sin tendencia
22CYE2-214098,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,77063937-9,Ecología y Genética Ambiental SpA,Fortalecimiento de las estrategias de marketing y posicionamiento de marca ECOGEN,"fortalecer las estrategias de marketing asociadas al modelo de negocios, y posicionar la marca para generar confianzas y aumentar el crecimiento de ventas a nivel nacional, además de generar vínculos estratégicos con socios externos que permitan escalar, a mediano plazo, en el mercado internacional.",2022,$45.000.000,$5.000.000,$200.000,,Servicio,Multisectorial,Incentivo,Masculino,Sí,ODS15,15.1,No,,Región del Biobío,Microempresa,2019-12-02,Servicios de ingeniería o de conocimiento,,Producción Sostenible,,,No,,,Sin tendencia
22CYE2-213993,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,VIGENTE,Persona Jurídica constituida en Chile,77022593-0,SOFTUS SPA,VerdeClick,"desarrollar versión 3.0 de la app verdeclick, que mejore funciones ya existentes e integre nuevas funciones con tecnología de vanguardia, para satisfacer las necesidades de nuestros clientes de forma más oportuna e integral, con el fin de escalar y tener presencia en todo el país en un corto y mediano plazo.",2022,$34.666.880,$8.700.000,$4.350.000,,Producto,Sector público,No,Masculino,Sí,ODS11,11.6,No,,Región de La Araucanía,Sin ventas,2019-06-03,Tecnologías de la información,,Habilitador para la EC,,,No,,,Green Technologies (Tecnologías Verdes)
22CYE-201900,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,76886961-8,AQUADATA SpA,"Internacionalización AQUAREPORT, Solución para digitalizar y automatizar información en proceso de vacunación de peces de cultivo.","propiciar la internacionalización y escalamiento comercial de aquareport en los mercados de brasil, méxico y noruega a través de actividades que permitan el conocimiento acabado de los mercados, la prospección comercial de clientes y redes y la adaptación del producto tecnológico para generar contratos comerciales e incrementar las ventas de aquadata.",2022,$57.772.000,$14.468.000,$14.468.000,,Producto,Pesca y acuicultura,No,Masculino,No,,,,,Región de Los Ríos,Sin ventas,2018-07-19,Tecnologías de la información,,,,,No,,,Sin tendencia
22CYE-201817,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,76759638-3,Caranca SpA,"Expansión internacional de Caranca: desembarco en Europa de nuestras botas para lluvia, la primera línea de botas hecha con materiales reutilizados, verdaderamente sustentable.","expandir el mercado de caranca upcycled boots hacia reino unido y alemania, donde por sus condiciones climáticas el uso de nuestro producto es habitual y necesario. capitalizar la experiencia actual para desplegar una estrategia comercial adecuada, resaltando sus atributos de calidad, diseño, confort y origen sustentable, para así incrementar las ventas, generar mayor valor agregado y abrir puertas para futuros desarrollos de la marca.",2022,$78.725.200,$17.527.000,$15.799.000,,Producto,Comercio y retail,Incentivo,Femenino,Sí,ODS12,12.5,Sí,Recuperación de Recursos,Región de los Lagos,Microempresa,2017-09-25,Otras industrias manufactureras,Reciclar,Economía Circular,,Extensión de vida útil del producto y sus partes,No,,,Sin tendencia
22CYE-201796,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,VIGENTE,Persona Jurídica constituida en Chile,77328470-9,Comercial e Industrial Bioingemar Ltda,"Escalamiento y expansión a mercados internacionales de formula fotoprotectora para amplio rango de radiación UV,  a partir de algas rojas .","formular, certificar y escalar la producción y comercialización de un producto fotoprotector con protección de amplio espectro en el rango uv obtenido a partir de aminoácidos y pigmentos fotosintéticos de algas rojas, para ofrecer al mercado una alternativa segura y sin efectos secundarios, además de proteger intelectualmente los procesos de fabricación con el fin de expandir nuestra actividad a mercados internacionales.",2022,$57.014.960,$13.950.000,$9.000.000,,Producto,Salud y Farmacéutica (en humanos),Incentivo,Masculino,Sí,ODS3,3.9,No,,Región del Biobío,Microempresa,1999-08-26,Servicios de ingeniería o de conocimiento,,Innovación Social,,,No,,,Mass customization
22CYE-201791,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,77417131-2,MAROBOTICS SPA,"SLPS (Sea Lions Protective Shield), es un sistema disuasivo de lobos marinos para la industria acuícola y pesquera, cuya efectividad ha sido probada y demostrada. Se basa en más de 1.000 horas de sonidos de orcas en estado de caza.","explorar y comercializar el dispositivo en nuevos clientes en el mercado local, en un principio expandiendo las ventas del sistema en la industria acuícola y luego en la industria pesquera, para poder aportar eficientizar la producción a la vez que se logra cuidar ambientalmente a los lobos marinos, evitando medidas más agresivas como las que, a veces, se toman actualmente.de esta manera, se busca generar mayores ventas y valor agregado para la firma y la industria chilena en general.",2022,$39.994.000,$10.008.000,$10.008.000,,Producto,Pesca y acuicultura,No,Masculino,No,ODS14,14.2,,,Región de los Lagos,Microempresa,2021-08-10,Otras industrias manufactureras,,,,,No,,,Green Technologies (Tecnologías Verdes)
22CYE-201778,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,77367477-9,GT-ATP,"Empaquetamiento técnico/comercial de un material termoplástico biodegradable compostable flexible en formato pellet, desarrollado a partir de la conversión química de biomasa residual generada por la industria del aserrío.","escalar el proceso productivo a nivel semi industrial del material termoplástico flexible biodegradable compostable en formato pellet, y su validación y empaquetamiento comercial en el mercado nacional.",2022,$30.108.000,$7.842.000,$7.842.000,,Producto,Otros servicios empresariales,No,Masculino,Sí,ODS12,12.5,Sí,Suministro Circular,Región del Biobío,Microempresa,2021-05-20,Otros servicios empresariales,Intercambiar,Economía Circular,,Extensión de vida útil del producto y sus partes,Sí,Envases y Embalajes,,Materiales Avanzados (Advanced Materials)
22CYE-201732,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,77282570-6,CENTRO DE ASESORÍA PROFESIONAL VARAS URBINA LTDA,ioFish Alimentación de precisión de salmónidos,"escalar en ventas el producto iofish. para eso se requiere realizar mejoras de usabilidad, incorporar un complemento de mantenimiento predictivo, empaquetar el producto, desarrollar estrategias del plan de escalamiento, desarrollar y validar modelo de negocios, formar un equipo de soporte técnico. de forma que la marca y el producto reflejen su calidad, confiabilidad y diferenciación a los potenciales clientes. el indicador será el numero de ventas y suscripciones del producto instalado.",2022,$39.320.000,$10.300.000,$10.300.000,,Servicio,Pesca y acuicultura,No,Masculino,No,,,,,Región de los Lagos,Microempresa,1999-07-08,Servicios empresariales administrativos y de apoyo,,,,,No,,,Inteligencia Artificial (IA)
22CYE-201694,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,77240090-K,Poliestirec SpA,Consolidación y escalamiento nacional de pinturas Poliestirec en base a EPS Reciclado,"escalar a nivel nacional las pinturas poliestirec como destino certificado del poliestireno expandido eps residual de las obras de construcción, pesca y otras industrias, re-integrándolas en economía circular, a partir de un producto tecnológico comercializable ya verificado en condiciones reales y bajo normas internacionales.",2022,$39.643.445,$28.567.000,$28.567.000,,Producto,Construcción,No,Masculino,Sí,ODS12,12.5,Sí,Recuperación de Recursos,Región de los Lagos,Microempresa,1998-11-05,"Química, caucho y plásticos (excepto industria farmacéutica)",Reciclar,Economía Circular,,Aplicación útil de materiales,No,,,Materiales Avanzados (Advanced Materials)
22CYE-201603,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,77010411-4,LobbyControl SpA,Smert by LobbyControl,"desarrollar nueva tecnología que permita la usabilidad de habitantes y ocupantes de estructuras, con nuevas funcionalidades dentro de la app logrando así que por ejemplo se reporten emergencias y faciliten canales de comunicación con dichos equipos, de esta forma, mejorar la prestación del servicio entregado y seguir siendo pioneros en esta tecnología a nivel mundial, robusteciendo la propuesta de valor hacia el cliente y en consecuencia, comenzar un proceso de expansión en nuevos mercados.",2022,$59.325.000,$28.175.000,$28.175.000,,Servicio,Inmobiliarias,No,Masculino,Sí,ODS11,11.b,No,,Región del Biobío,Microempresa,2019-05-17,Tecnologías de la información,,Producción Sostenible,,,No,,,Manufactura Avanzada (Advanced Manufacturing)
22CYE-201596,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,76852116-6,green bricks chile limitada,"Green Bricks, revestimientos sustentables para muros.","escalar la producción y ventas y que al final del proyecto sean recurrentes y mayores al punto de equilibrio¿cómo?, mejorando los procesos de manufactura de productos sustentables provenientes del upcycling de plásticos(revestimientos de muros),estandarizando y aumentando la calidad de los productos mediante el desarrollo de nuevas técnicas y certificaciones internacionales como un anaisis de ciclo de vida, con el propósito de optimizar la calidad de producción para su posterior comercialización",2022,$40.000.000,$10.000.000,$10.000.000,,Producto,Construcción,No,Masculino,Sí,ODS12,12.5,Sí,Recuperación de Recursos,Región del Biobío,Microempresa,2018-04-06,Gestión de desechos,Reciclar,Economía Circular,,Aplicación útil de materiales,No,,,Manufactura Avanzada (Advanced Manufacturing)
22CYE-201582,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,76722458-3,Plantae Labs,Tecnología de liberación controlada a base de plantas para control enfermedades en animales,"mejorar y potenciar nuestro producto sap capsule (extracto natural capsule) como reemplazo a las actuales terapias antimicrobianas en la industria de aves de engorda de estados unidos, mediante la creación de herramientas técnico/comerciales para acelerar su penetración en el mercado.",2022,$68.434.000,$22.916.000,$22.916.000,,Producto,Ganadero,No,Femenino,No,ODS3,3.d,,,Región del Biobío,Pequeña,2017-04-20,Alimentos (excepto vitivinícola),,,,,No,,,Sin tendencia
22CYE-201570,Consolida y Expande,Subsidio,Consolida y Expande,Consolida y Expande,FINALIZADO,Persona Jurídica constituida en Chile,77146172-7,Te Necesito spa,TeNecesito - Plataforma de servicios freelancers especializada Diseño y Programación con foco en expansión nacional,"expandir tenecesito, como la principal plataforma tecnológica de soluciones de programación y diseño en la región del biobío. definiendo marca y estrategias digitales, incrementando las capacidades tecnológicas de la plataforma, mejorando sus funcionalidades y escalabilidad.​con esto: ​  fortalecer la imagen y posicionamiento de tenecesito​ incrementar ventas consolidando el modelo de negocios de tn​ mejorar las capacidades tecnológicas y funcionalidades para escalabilidad y experiencia ux/uy​",2022,$39.590.000,$9.925.000,$5.025.000,,Servicio,Telecomunicaciones y tecnologías de la información,No,Femenino,No,,,,,Región del Biobío,Sin ventas,2020-04-23,Tecnologías de la información,,,,,No,,,Sin tendencia
22CVID2-218745,Desarrolla innovación con I+D,Subsidio,Crea y Valida I+D+i Empresarial,Crea y Valida I+D+i Empresarial,VIGENTE,Persona Jurídica constituida en Chile,77486596-9,STREAM PRO SPA,SeaIA: Sistema de inspección submarina de estructuras acuícolas mediante inteligencia artificial.,"implementar un sistema de inspección submarina en los centros de cultivo de la acuicultura, mediante el desarrollo y diseño de un modelo algorítmico de inteligencia artificial, para evitar siniestros en el ecosistema submarino, reducir costes de mantención, aumentar tiempo de reacción ante potenciales riesgos de daños estructurales y llevar la trazabilidad de las estructuras submarinas.",2022,$99.947.720,$71.857.968,$68.924.400,,Servicio,Pesca y acuicultura,No,Masculino,No,ODS9,9.4,No,,Región de los Lagos,Microempresa,2022-02-23,Pesca y acuicultura,,,,,No,,,Inteligencia Artificial (IA)
22CVID2-218655,Desarrolla innovación con I+D,Subsidio,Crea y Valida I+D+i Empresarial,Crea y Valida I+D+i Empresarial,VIGENTE,Persona Jurídica constituida en Chile,76783708-9,Patagonia Rov SpA,DeepSea+,"fabricar un módulo submarino con camaras de alta resolución de monitoreo en tiempo real del crecimiento, estimación de biomasa y alerta temprana de patologías de los peces, compuesto por un motor de visión computacional, procesamiento de alto rendimiento y uso de redes neuronales, para aumentar la precisión de los sistemas de evaluación de crecimiento y estado de salud de los peces, la automatización de las tareas diarias, y obtener mejoras en los índices de producción en los centros de cultivo.",2022,$111.129.850,$40.169.976,$40.169.976,,Producto,Pesca y acuicultura,Incentivo,Masculino,No,ODS9,9.4,No,,Región de los Lagos,Mediana,2017-09-26,Pesca y acuicultura,,,,,No,,,Inteligencia Artificial (IA)
